자치구,연도,쓰레기_배출량,쓰레기_매립량,쓰레기_소각량,쓰레기_재활용량,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량
성동구,2024,1027416,6383,35878,949977,1.55,281289,159245,120565,27476,30444,6175,111943,75960,3014,52,751281,751215,66,-,4947,2237,2354,156
성북구,2020,437406,6391,39448,391237,0.81,447056,132342,90004,31987,37020,5206,2406,2398,2,6,299472,298377,55,1040,3186,457,2371,139
성북구,2021,617081,4240,33596,578489,0.85,440142,136000,100565,31629,31140,3620,3657,3629,2,6,474185,473801,-,384,3239,494,2454,230
성북구,2022,587314,3314,32556,543497,0.78,441984,125909,85083,33449,29930,3031,620,612,2,6,457253,457253,-,-,3533,549,2623,278
성북구,2023,319194,1558,41316,275854,0.77,438168,123724,83204,33741,38734,1421,5042,5032,3,7,187081,187078,3,-,3347,540,2576,129
성북구,2024,363601,2223,30494,330333,0.74,435037,117738,87203,32178,28119,1972,8729,8721,2,6,233845,233831,14,-,3289,578,2359,245
송파구,2020,1563519,60628,47173,1445356,1.08,673926,266247,198010,76302,35498,32302,31090,19702,1672,37,1253053,1225285,2010,25758,13128,2358,7993,2531
송파구,2021,1109491,57750,51880,991123,1.04,663965,253209,173237,72869,40967,31434,37277,34863,1242,41,807419,780853,770,25797,11586,2170,8902,478
송파구,2022,909951,34028,51323,770847,1.24,664514,301830,177052,71761,39669,33624,70684,65984,2612,-,526477,526166,297,15,10960,1646,8746,389
송파구,2023,686606,25205,52582,565064,1.09,660025,262182,156087,68363,39356,24918,83756,77380,4448,33,329910,329617,293,-,10758,1982,8484,255
송파구,2024,732026,14974,59733,611677,1.12,656310,268890,162401,65558,48885,14789,77516,70720,4020,-,376512,376381,132,-,9108,2176,6696,185
양천구,2020,458040,28433,34766,394798,0.86,457781,144360,104623,32582,33003,6734,15876,514,4,15357,291869,288996,128,2746,5935,665,1631,3596
양천구,2021,400459,31715,32020,335110,0.78,450487,128894,86602,32280,30053,10819,18134,730,11,17360,249536,247131,54,2351,3896,647,1902,1184
양천구,2022,306957,25392,35709,242863,0.76,444010,123688,80582,32706,33872,6324,26016,7159,40,18755,154450,154447,4,-,2803,675,1794,314
양천구,2023,247774,26215,31874,189182,0.72,439252,115678,78725,29977,29907,6779,21244,1842,209,19129,107829,107829,-,-,3023,786,1758,308
양천구,2024,332820,26046,35318,261323,0.77,434351,121756,72237,29542,33545,6453,19846,438,51,19254,187835,187832,3,-,3383,817,1719,339
영등포구,2020,789191,13029,47526,725302,1.1,407367,164492,108772,49934,44477,9801,20695,20504,4,-,598226,594970,451,2804,5778,1056,2595,423
영등포구,2021,703046,21485,35268,643041,1.1,400908,161206,112103,47997,32519,14311,16433,15922,3,433,520027,513877,50,6100,5380,1139,2696,641
영등포구,2022,825651,13450,42534,762953,1.15,398085,167303,113275,48162,39621,13033,31221,26187,126,156,622319,622241,78,-,4808,1250,2708,261
영등포구,2023,567119,11152,43506,510750,1.15,397800,166688,114964,48604,40194,10454,16535,16149,2,322,379065,378282,783,-,4831,1354,2528,376
영등포구,2024,593281,8177,44896,538286,1.09,397173,158377,106906,46210,42491,7829,16008,15870,4,74,414191,414156,35,-,4706,1354,2366,273
용산구,2020,385259,14352,30149,340570,1.23,244645,110255,72190,23308,28417,9575,5023,4709,292,-,267005,262272,87,4646,2976,1400,1353,130
용산구,2021,570680,10742,31323,528210,1.24,237285,107173,68334,22665,29489,9113,204139,203377,560,79,257038,255678,69,1291,2331,821,1206,259
용산구,2022,949707,6981,34096,908379,2.54,233284,216363,178471,24960,31172,6511,365558,365180,378,-,365184,363958,1226,-,2603,770,1321,470
용산구,2023,861824,5124,34370,821744,2.52,227106,208742,171993,22989,31658,4979,240879,240358,499,-,409386,408357,1029,-,2818,1037,1185,144
용산구,2024,424047,3752,33855,385534,1.31,217194,103895,67515,25318,32618,3506,43457,43190,37,-,274422,274278,144,-,2273,552,1056,245
은평구,2020,789221,42295,21066,725762,0.79,484043,139243,81603,29107,19271,38299,1442,1442,-,-,645555,642091,68,3396,2980,625,1727,600
은평구,2021,477969,41301,16714,419258,0.79,477173,138304,83540,28450,14275,40420,82,72,-,-,335679,334977,119,584,3905,669,2321,298
은평구,2022,481162,39645,18692,422105,0.75,470602,128783,72461,27614,16763,38861,35,35,-,-,349009,348856,63,90,3336,754,1866,694
은평구,2023,395945,34071,18170,343488,0.72,470869,123761,74038,26512,16353,33351,10304,10151,-,-,258426,258426,-,-,3455,873,1818,720
은평구,2024,618816,31055,26930,560680,0.75,465350,127441,72827,26115,24803,29811,12231,11603,55,457,475666,475336,330,-,3478,915,1742,787
종로구,2020,349122,11765,35278,301317,1.66,158996,96692,56165,27828,30536,9466,536,375,4,5,244977,242946,23,2008,6916,1831,4715,286
종로구,2021,427101,8601,35832,381765,1.49,153789,83878,45404,25269,30427,7518,575,448,35,5,334984,334066,28,890,7666,1847,5342,189
종로구,2022,388017,7126,41873,338310,1.88,152211,104369,62003,28281,35421,6635,964,577,167,3,275856,274483,1373,-,6828,1247,4913,488
종로구,2023,326233,6173,40532,273087,1.77,150453,97419,54632,29163,35774,5645,5548,567,8,3,216598,216454,33,111,6669,1434,4718,414
종로구,2024,280518,4061,40086,235251,1.81,149608,98887,58688,29559,35903,3869,2447,1746,98,17,173592,173540,52,-,5592,1277,4033,175
중구,2020,568669,13102,49978,505466,2.66,134635,130842,72461,29313,47006,11375,3891,3272,611,-,430202,428720,208,1274,3734,1013,2152,453
중구,2021,425458,11014,51890,362298,2.26,131787,108816,50113,28641,48862,9611,703,623,75,6,311695,310374,281,1040,4244,1189,2672,356
중구,2022,441836,8793,45657,387027,2.49,130785,118766,66571,34672,43571,8318,572,526,46,-,319051,319040,11,-,3446,890,2028,475
중구,2023,349138,6946,47049,293220,2.75,131793,132481,78731,36954,45292,6595,299,256,35,-,213607,213582,25,-,2752,651,1696,350
중구,2024,463201,4813,43340,413582,2.78,131214,133576,85767,38016,41851,4641,25473,25362,103,-,301748,301747,2,-,2404,707,1385,172
중랑구,2020,441390,9389,35064,396827,0.84,399562,123561,82943,31736,33840,6778,4022,1974,-,1971,312042,311350,191,501,1765,560,1033,139
중랑구,2021,494909,9920,34963,449999,0.74,391885,105213,64188,30691,33476,7527,6204,4126,-,2078,381425,381123,155,146,2067,562,1332,169
중랑구,2022,318053,7475,34833,274838,0.73,390140,104375,63404,30532,33253,6819,3798,3256,12,530,207985,207602,383,-,1895,577,1186,125
중랑구,2023,204166,4509,36621,162673,0.68,387470,96847,57284,29172,35055,4233,3464,3412,-,52,101667,101330,337,-,2188,647,1228,225
중랑구,2024,320191,3062,38751,277911,0.76,385349,107223,66826,29362,37416,2942,662,309,70,-,210101,210013,88,-,2204,764,1176,120
