"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2005","합계",도봉구,20.80,383448,21.00,383448,100.0,468.0,468.0,100.0,468.0,91.0,1.0,376.0,0.0,0.0
"2005","합계",노원구,35.42,624855,35.00,624855,100.0,707.0,707.0,100.0,707.0,36.0,155.0,516.0,0.0,0.0
"2005","합계",은평구,29.71,473456,30.00,473456,100.0,1525.0,1525.0,100.0,1525.0,146.0,4.0,1375.0,0.0,0.0
"2005","합계",서대문구,17.61,355934,18.00,355934,100.0,793.0,793.0,100.0,793.0,161.0,8.0,624.0,0.0,0.0
"2005","합계",마포구,23.88,393155,24.00,393155,100.0,2555.0,2555.0,100.0,2555.0,53.0,111.0,2391.0,0.0,0.0
"2005","합계",양천구,17.40,502788,17.00,502788,100.0,649.0,649.0,100.0,649.0,22.0,135.0,492.0,0.0,0.0
"2005","합계",강서구,41.40,557373,41.00,557373,100.0,2528.0,2528.0,100.0,2528.0,366.0,51.0,1637.0,474.0,0.0
"2005","합계",구로구,20.11,427119,20.00,427119,100.0,1213.0,1213.0,100.0,1213.0,76.0,127.0,1010.0,0.0,0.0
"2005","합계",금천구,13.02,263936,13.00,263936,100.0,1218.0,1218.0,100.0,1218.0,135.0,27.0,1053.0,3.0,0.0
"2005","합계",영등포구,24.57,421327,25.00,421327,100.0,1584.0,1584.0,100.0,1584.0,312.0,14.0,1258.0,0.0,0.0
"2005","합계",동작구,16.35,414668,16.00,414668,100.0,844.0,844.0,100.0,844.0,135.0,7.0,702.0,0.0,0.0
"2005","합계",관악구,29.57,537235,30.00,537235,100.0,998.0,998.0,100.0,998.0,192.0,16.0,790.0,0.0,0.0
"2005","합계",서초구,47.03,406875,47.00,406875,100.0,1825.0,1825.0,100.0,1825.0,363.0,13.0,1449.0,0.0,0.0
"2005","합계",강남구,39.54,547775,40.00,547775,100.0,2424.0,2424.0,100.0,2424.0,160.0,227.0,1777.0,260.0,0.0
"2005","합계",송파구,33.88,610023,34.00,610023,100.0,1615.0,1615.0,100.0,1615.0,245.0,13.0,1354.0,3.0,0.0
"2005","합계",강동구,24.58,466664,25.00,466664,100.0,932.0,932.0,100.0,932.0,146.0,16.0,770.0,0.0,0.0
"2006","합계",소계,605.40,10356202,605.40,10356202,100.0,45427.0,45427.0,100.0,45427.0,4838.0,1452.0,38660.0,309.0,167.7
"2006","합계",종로구,23.91,172690,23.91,172690,100.0,1517.0,1517.0,100.0,1517.0,204.3,6.5,1306.0,-,0.4
"2006","합계",중구,9.96,136348,9.96,136348,100.0,2046.0,2046.0,100.0,2046.0,94.2,183.7,1767.8,-,-
"2006","합계",용산구,21.87,243033,21.87,243033,100.0,985.6,985.6,100.0,985.6,53.2,128.7,803.6,-,0.1
