"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","노원구",2011,164.8,-,-,164.8,133.1,30.3,-,1.3
"서울시","노원구",2012,165.7,-,-,165.7,122.8,42.4,-,0.5
"서울시","노원구",2013,163.3,-,-,163.3,127.2,35.6,-,0.5
"서울시","노원구",2014,169.8,-,-,169.8,126.5,42.9,-,0.4
"서울시","노원구",2015,162.8,-,-,162.8,132.4,29.9,-,0.5
"서울시","노원구",2016,157.9,-,-,157.9,123.9,34.0,-,-
"서울시","노원구",2017,138.7,-,-,138.7,35.3,103.0,-,0.4
"서울시","노원구",2018,131.9,-,-,131.9,6.2,125.1,-,0.6
"서울시","노원구",2019,128.7,-,-,128.7,7.8,120.9,-,-
"서울시","노원구",2020,118.4,-,-,118.4,11.3,37.7,-,69.4
"서울시","노원구",2021,115.9,-,-,115.9,31.8,78.9,-,5.2
"서울시","노원구",2022,116.2,-,-,116.2,33.4,76.6,-,6.2
"서울시","노원구",2023,111.2,-,-,111.2,5.3,61.6,-,44.3
"서울시","은평구",2004,75.1,17.8,-,57.3,-,-,-,-
"서울시","은평구",2005,86.0,-,-,86.0,1.0,84.0,-,1.0
"서울시","은평구",2006,84.7,-,-,84.7,13.6,71.1,-,0.1
"서울시","은평구",2007,87.1,-,-,87.1,44.0,42.9,-,0.2
"서울시","은평구",2008,83.8,-,-,83.8,69.9,13.6,-,0.3
"서울시","은평구",2009,77.3,-,-,77.3,64.8,12.5,-,-
"서울시","은평구",2010,78.3,-,-,78.3,66.0,12.3,-,-
"서울시","은평구",2011,80.3,-,-,80.3,74.7,4.7,-,0.9
"서울시","은평구",2012,73.1,-,-,73.1,67.6,4.4,-,1.1
"서울시","은평구",2013,84.7,-,-,84.7,68.4,14.3,-,2.0
"서울시","은평구",2014,88.6,-,-,88.6,65.3,23.3,-,-
"서울시","은평구",2015,93.2,-,-,93.2,48.3,44.9,-,-
"서울시","은평구",2016,91.4,-,-,91.4,39.3,52.1,-,-
"서울시","은평구",2017,86.7,-,-,86.7,35.3,51.3,-,0.1
"서울시","은평구",2018,84.2,-,-,84.2,19.7,64.3,-,0.2
"서울시","은평구",2019,84.6,-,-,84.6,49.8,34.8,-,-
"서울시","은평구",2020,78.4,-,-,78.4,12.8,65.3,-,0.6
"서울시","은평구",2021,77.9,-,-,77.9,18.1,59.0,-,0.8
"서울시","은평구",2022,75.7,-,-,75.7,22.0,52.8,-,0.9
"서울시","은평구",2023,72.6,-,-,72.6,47.0,8.0,-,17.6
"서울시","서대문구",2004,64.1,15.1,-,49.0,-,-,-,-
"서울시","서대문구",2005,98.0,-,-,98.0,8.0,82.0,-,8.0
