대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
계,강서구,2015,434.2,306.7,127.9,178.8,104.3,23.2,,0.73,434.2,595691,3970.2,2606.8,255.4,127.9,178.8,178.8,674.7,126,2861.3,2174.1,7.2,2.2,,178.8,129.7,53.9,46,29.8,49.1,11.4,12.6,5.7,19.2,0.2,,,,,,
계,강서구,2016,425.3,290.8,110.9,179.9,112.2,22.3,,0.71,425.3,602104,3846.3,2759,245.4,110.9,179.9,179.9,658,120.8,2763,2347.4,8.5,2.1,,178.2,130.7,55,47.4,28.3,47.5,11.2,13.2,6.6,16.3,0.2,,,,,,
계,강서구,2017,463.7,329.4,160.9,168.5,106.4,27.9,,0.76,463.7,608255,3897.1,2882.9,295.2,160.9,168.5,168.5,712.3,121.7,2721.1,2431.8,8.2,2.1,,168.5,128.4,53.2,46.4,28.8,40.1,12.3,12.3,3.5,11.9,0.1,,,,,,
계,강서구,2018,480,336.4,173.3,163.1,115.7,27.9,,0.8,480,603611,3779.2,2774.9,316.9,173.3,163.1,163.1,687.9,135.7,2611.3,2302.8,12.6,4.6,,163.1,126.8,52.1,45.1,29.6,36.3,12.8,10.7,3.8,8,1,,,,,,
계,강서구,2019,599.4,446.2,286,160.2,115.5,35.7,2,1,599.4,598273,2938.2,2210.5,434.4,281.2,165,165,515,55.4,1823.8,1708.9,11.3,3.3,,165,129,6.2,96.9,25.9,23.1,11.3,11.7,0.1,,0.1,12.9,1.6,,3.9,6.2,1.2
계,강서구,2020,192797,133861,81134,52728,37921,20583,431,0.9,526.8,585901,1799251,1330417,192797,133861,,,300172,37894,1306283,1158663,4692,1180,73.9,144.1,114.3,5.4,84.5,24.4,17.1,7.9,8.9,,,0.3,12.7,2.1,0.4,2.7,6.5,0.9
계,강서구,2021,751795,212856,165418,47438,38987,229973,269979,3.55,2059.7,579768,1805962,1029615,751795,212856,,,283001,49136,771167,767623,5052,1267,57,131.3,103.7,12.5,71,20.2,17.7,8.6,8.8,,,0.3,9.9,3.1,,3.2,3.7,
계,강서구,2022,585756,274273,228116,46157,46052,22085,243346,2.79,1604.8,574638,1707507,1225583,585756,274273,,,245427,75159,876324,876151,5221,1398,71.8,128.7,98.8,12.4,70.2,16.2,19.7,12.2,7,,,0.5,10.2,3.6,,3.2,2.6,0.8
계,강서구,2023,490315,221810,178033,43777,48403,15035,205068,2.36,1343.3,568826,1737168,1229541,490315,221810,,,355548,117035,891305,890697,5157,1161,70.8,122.3,93.4,11.5,65.1,16.9,16.1,9.8,6.2,,,0.1,12.8,5,1,2.6,3.3,0.8
계,강서구,2024,590910,270188,225445,44743,50371,14385,255967,2.87,1614.5,562194,1851172,1254984,590910,270188,,,394974,120157,865288,864639,6893,1979,67.8,,,,,,,,,,,,,,,,,
계,관악구,2000,449,165.5,130,35.5,6.2,277.3,,,,,,294,,166,,,,,,128,,,,,,,,,,,,,,,,,,,,
계,관악구,2001,501.2,172.9,134.1,38.8,8.4,319.9,,,,,,366,,173,,,,,,193,,,,,,,,,,,,,,,,,,,,
계,관악구,2002,520.6,216.6,180.1,36.5,9,295,,,,,,810,,217,,,,,,593,,,,,,,,,,,,,,,,,,,,
계,관악구,2003,563.1,280.3,238.3,42,12.5,270.3,,,,,,600,,280,,,,,,320,,,,,,,,,,,,,,,,,,,,
계,관악구,2004,583.4,337.2,234.2,103,9.9,236.3,,,,,,772,,247,,90,,,,435,,3,,,,,,,,,,,,,,,,,,
계,관악구,2005,551,362.2,244.4,117.8,15.6,173.2,,,,,,796,,244,,118,,,,434,,2,,,,,,,,,,,,,,,,,,
계,관악구,2006,581.7,380,249.8,130.3,5.7,196,,,,,,1016,,257,,130,,3,,626,,1,,,,,,,,,,,,,,,,,,
계,관악구,2007,569.3,387.2,253.4,133.8,13.5,168.6,,,,,,1049,,253,,134,,,,662,,3,,,,,,,,,,,,,,,,,,
계,관악구,2008,540.3,385.4,256.7,128.7,8,146.9,,,,,,1082,,257,,129,,,,696,,1,,,,,,,,,,,,,,,,,,
계,관악구,2009,474.4,326,199.9,126.1,7,141.4,,0.87,474.4,547311,,1338,,200,,126,,2,,1010,,2,,,,,,,,,,,,,,,,,,
계,관악구,2010,340,163,35,128,21,156,,0.62,340,549736,1252.9,1052.9,212,35,128,128,16,,896.9,889.9,5.9,2.5,,,,,,,,,,,,,,,,,,
계,관악구,2011,321,157.4,36.8,120.6,7.6,156,,0.59,321,546350,1128.6,959.1,225.9,62.3,95.1,95.1,,,807.6,801.7,4.6,1.3,,,,,,,,,,,,,,,,,,
계,관악구,2012,317.6,187.5,65.9,121.6,21,109.1,,0.59,317.6,540520,1201.4,1060.8,196,65.9,121.6,121.6,2.9,2.9,880.9,870.4,6.3,2.6,,,,,,,,,,,,,,,,,,
계,관악구,2013,315.5,179.9,64.5,115.4,26.8,108.8,,0.59,315.5,535128,1169.2,1024.1,200.1,64.5,115.4,115.4,2.4,2.4,851.3,841.8,7.3,3.2,,,,,,,,,,,,,,,,,,
계,관악구,2014,354.3,218.2,99.1,119.1,31.9,104.2,,0.67,354.3,531960,1112.8,969.4,235.2,99.1,119.1,119.1,3.5,3.5,755,747.7,6.5,1.8,,119.1,100.4,53.4,34.1,12.9,18.7,6.9,10.2,1.6,,,,,,,,
