대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,광역시도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률
계,강서구,2009,570.9,449.7,237.2,212.5,60.4,60.8,,0.99,570.9,579196.0,서울시,,1595.0,,237.0,,213.0,,253.0,,892.0,,2.0,
계,강서구,2010,671.4,450.0,235.3,214.7,77.2,144.2,,1.16,671.4,580506.0,서울시,3354.0,2434.1,456.7,235.3,214.7,214.7,753.1,118.3,1929.5,1865.8,9.9,2.8,
계,강서구,2011,429.8,316.1,112.1,204.0,91.2,22.5,,0.75,429.8,575846.0,서울시,4880.2,3596.3,225.7,112.0,204.1,204.1,695.6,25.3,3754.8,3254.9,16.1,7.5,
계,강서구,2012,399.1,286.1,86.5,199.6,96.8,16.2,,0.7,399.1,573794.0,서울시,3737.5,2236.8,199.5,86.5,199.6,199.6,772.3,212.0,2566.1,1738.7,7.1,2.2,
계,강서구,2013,370.2,242.7,81.6,161.1,103.6,23.9,,0.64,370.2,575236.0,서울시,3174.1,2144.3,199.5,81.6,170.7,161.1,726.5,250.5,2077.4,1651.1,8.8,1.5,
계,강서구,2014,436.8,305.4,135.3,170.1,102.3,29.1,,0.74,436.8,591653.0,서울시,3225.7,2401.7,266.7,135.3,170.1,170.1,643.8,126.8,2145.1,1969.5,7.9,2.9,
계,강서구,2015,434.2,306.7,127.9,178.8,104.3,23.2,,0.73,434.2,595691.0,서울시,3970.2,2606.8,255.4,127.9,178.8,178.8,674.7,126.0,2861.3,2174.1,7.2,2.2,
계,강서구,2016,425.3,290.8,110.9,179.9,112.2,22.3,,0.71,425.3,602104.0,서울시,3846.3,2759.0,245.4,110.9,179.9,179.9,658.0,120.8,2763.0,2347.4,8.5,2.1,
계,강서구,2017,463.7,329.4,160.9,168.5,106.4,27.9,,0.76,463.7,608255.0,서울시,3897.1,2882.9,295.2,160.9,168.5,168.5,712.3,121.7,2721.1,2431.8,8.2,2.1,
계,강서구,2018,480.0,336.4,173.3,163.1,115.7,27.9,,0.8,480.0,603611.0,서울시,3779.2,2774.9,316.9,173.3,163.1,163.1,687.9,135.7,2611.3,2302.8,12.6,4.6,
계,강서구,2019,599.4,446.2,286.0,160.2,115.5,35.7,2.0,1.0,599.4,598273.0,서울시,2938.2,2210.5,434.4,281.2,165.0,165.0,515.0,55.4,1823.8,1708.9,11.3,3.3,
계,강서구,2020,192797.0,133861.0,81134.0,52728.0,37921.0,20583.0,431.0,0.9,526.8,585901.0,서울시,1799251.0,1330417.0,192797.0,133861.0,,,300172.0,37894.0,1306283.0,1158663.0,4692.0,1180.0,73.9
계,강서구,2021,751795.0,212856.0,165418.0,47438.0,38987.0,229973.0,269979.0,3.55,2059.7,579768.0,서울시,1805962.0,1029615.0,751795.0,212856.0,,,283001.0,49136.0,771167.0,767623.0,5052.0,1267.0,57.0
계,강서구,2022,585756.0,274273.0,228116.0,46157.0,46052.0,22085.0,243346.0,2.79,1604.8,574638.0,서울시,1707507.0,1225583.0,585756.0,274273.0,,,245427.0,75159.0,876324.0,876151.0,5221.0,1398.0,71.8
계,강서구,2023,490315.0,221810.0,178033.0,43777.0,48403.0,15035.0,205068.0,2.36,1343.3,568826.0,서울시,1737168.0,1229541.0,490315.0,221810.0,,,355548.0,117035.0,891305.0,890697.0,5157.0,1161.0,70.8
계,강서구,2024,590910.0,270188.0,225445.0,44743.0,50371.0,14385.0,255967.0,2.87,1614.5,562194.0,서울시,1851172.0,1254984.0,590910.0,270188.0,,,394974.0,120157.0,865288.0,864639.0,6893.0,1979.0,67.8
계,관악구,2000,449.0,165.5,130.0,35.5,6.2,277.3,,,,,서울시,,294.0,,166.0,,,,,,128.0,,,
계,관악구,2001,501.2,172.9,134.1,38.8,8.4,319.9,,,,,서울시,,366.0,,173.0,,,,,,193.0,,,
계,관악구,2002,520.6,216.6,180.1,36.5,9.0,295.0,,,,,서울시,,810.0,,217.0,,,,,,593.0,,,
계,관악구,2003,563.1,280.3,238.3,42.0,12.5,270.3,,,,,서울시,,600.0,,280.0,,,,,,320.0,,,
계,관악구,2004,583.4,337.2,234.2,103.0,9.9,236.3,,,,,서울시,,772.0,,247.0,,90.0,,,,435.0,,3.0,
계,관악구,2005,551.0,362.2,244.4,117.8,15.6,173.2,,,,,서울시,,796.0,,244.0,,118.0,,,,434.0,,2.0,
계,관악구,2006,581.7,380.0,249.8,130.3,5.7,196.0,,,,,서울시,,1016.0,,257.0,,130.0,,3.0,,626.0,,1.0,
계,관악구,2007,569.3,387.2,253.4,133.8,13.5,168.6,,,,,서울시,,1049.0,,253.0,,134.0,,,,662.0,,3.0,
계,관악구,2008,540.3,385.4,256.7,128.7,8.0,146.9,,,,,서울시,,1082.0,,257.0,,129.0,,,,696.0,,1.0,
계,관악구,2009,474.4,326.0,199.9,126.1,7.0,141.4,,0.87,474.4,547311.0,서울시,,1338.0,,200.0,,126.0,,2.0,,1010.0,,2.0,
계,관악구,2010,340.0,163.0,35.0,128.0,21.0,156.0,,0.62,340.0,549736.0,서울시,1252.9,1052.9,212.0,35.0,128.0,128.0,16.0,,896.9,889.9,5.9,2.5,
계,관악구,2011,321.0,157.4,36.8,120.6,7.6,156.0,,0.59,321.0,546350.0,서울시,1128.6,959.1,225.9,62.3,95.1,95.1,,,807.6,801.7,4.6,1.3,
계,관악구,2012,317.6,187.5,65.9,121.6,21.0,109.1,,0.59,317.6,540520.0,서울시,1201.4,1060.8,196.0,65.9,121.6,121.6,2.9,2.9,880.9,870.4,6.3,2.6,
계,관악구,2013,315.5,179.9,64.5,115.4,26.8,108.8,,0.59,315.5,535128.0,서울시,1169.2,1024.1,200.1,64.5,115.4,115.4,2.4,2.4,851.3,841.8,7.3,3.2,
계,관악구,2014,354.3,218.2,99.1,119.1,31.9,104.2,,0.67,354.3,531960.0,서울시,1112.8,969.4,235.2,99.1,119.1,119.1,3.5,3.5,755.0,747.7,6.5,1.8,
계,관악구,2015,337.9,209.7,92.9,116.8,30.1,98.1,,0.64,337.9,529031.0,서울시,1319.5,1185.9,221.1,92.9,116.8,116.8,18.6,18.6,963.0,957.6,8.2,2.9,
계,관악구,2016,339.7,212.9,97.6,115.3,55.1,71.7,,0.65,339.7,525607.0,서울시,1523.3,1391.0,224.4,97.6,115.3,115.3,0.7,0.7,1182.9,1177.4,9.7,4.3,
계,관악구,2017,361.8,231.4,121.2,110.2,66.6,63.8,,0.69,361.8,520929.0,서울시,1422.8,1282.3,251.6,121.2,110.2,110.2,0.1,,1060.9,1050.9,7.5,2.9,
계,관악구,2018,436.8,315.9,205.6,110.3,36.7,84.2,,0.84,436.8,520040.0,서울시,1506.9,1377.6,326.5,205.6,110.3,110.3,1.3,1.3,1068.8,1060.4,7.8,2.9,
계,관악구,2019,434.7,313.2,221.9,91.3,37.7,83.7,0.1,0.84,434.7,517334.0,서울시,1658.6,1530.2,329.1,207.6,105.6,105.6,0.4,0.4,1223.5,1216.6,7.9,3.0,
계,관악구,2020,146977.0,103521.0,69067.0,34454.0,11177.0,32279.0,,0.79,401.6,509803.0,서울시,594421.0,550115.0,146977.0,103521.0,,,355.0,299.0,447090.0,446296.0,2654.0,1140.0,92.5
계,관악구,2021,146143.0,87868.0,54392.0,33476.0,40409.0,17867.0,,0.8,400.4,499449.0,서울시,631167.0,572074.0,146143.0,87868.0,,,12576.0,12565.0,472448.0,471641.0,3081.0,1197.0,90.6
계,관악구,2022,161574.0,109513.0,75883.0,33630.0,32082.0,19980.0,,0.88,442.7,501226.0,서울시,489967.0,437884.0,161574.0,109513.0,,,230.0,230.0,328164.0,328142.0,3025.0,1027.0,89.4
계,관악구,2023,146875.0,97385.0,65990.0,31395.0,31360.0,18067.0,63.0,0.81,402.4,497883.0,서울시,398470.0,348919.0,146875.0,97385.0,,,857.0,846.0,250737.0,250688.0,2818.0,855.0,87.6
계,관악구,2024,149864.0,111384.0,80526.0,30858.0,24650.0,13830.0,,0.83,409.5,495620.0,서울시,345294.0,306716.0,149864.0,111384.0,,,749.0,708.0,194682.0,194624.0,2793.0,864.0,88.8
계,광진구,2000,352.8,155.0,113.0,42.0,5.1,192.7,,,,,서울시,,346.0,,158.0,,,,34.0,,154.0,,,
계,광진구,2001,356.8,132.6,86.9,45.7,5.6,218.6,,,,,서울시,,1115.0,,133.0,,,,57.0,,926.0,,,
계,광진구,2002,475.0,247.6,202.3,45.3,7.6,219.8,,,,,서울시,,1203.0,,248.0,,,,58.0,,898.0,,,
계,광진구,2003,465.1,285.4,229.1,56.3,8.9,170.8,,,,,서울시,,1314.0,,285.0,,,,41.0,,988.0,,,
계,광진구,2004,470.6,304.7,231.7,73.0,8.1,157.8,,,,,서울시,,658.0,,238.0,,67.0,,51.0,,303.0,,2.0,
계,광진구,2005,410.4,302.5,198.2,104.3,9.6,98.3,,,,,서울시,,995.0,,198.0,,104.0,,42.0,,651.0,,2.0,
계,광진구,2006,437.6,308.2,204.7,103.5,13.6,115.8,,,,,서울시,,1104.0,,151.0,,104.0,,5.0,,844.0,,2.0,
계,광진구,2007,357.2,226.4,131.0,95.4,41.6,89.2,,,,,서울시,,736.0,,131.0,,95.0,,59.0,,451.0,,2.0,
계,광진구,2008,376.3,246.4,151.3,95.1,89.4,40.5,,,,,서울시,,943.0,,151.0,,95.0,,47.0,,650.0,,1.0,
계,광진구,2009,382.7,278.3,178.8,99.5,89.0,15.4,,0.99,382.7,386513.0,서울시,,833.0,,179.0,,100.0,,52.0,,503.0,,2.0,
계,광진구,2010,392.3,288.6,188.5,100.1,76.0,27.7,,1.01,392.3,388775.0,서울시,1145.9,1038.5,292.2,188.5,100.1,100.1,41.1,41.1,712.5,708.8,5.6,2.2,
계,광진구,2011,365.2,270.5,165.6,104.9,64.0,30.7,,0.94,365.2,386673.0,서울시,1184.3,1087.0,260.4,165.7,104.8,104.8,39.4,39.4,779.7,777.1,8.1,3.7,
계,광진구,2012,368.5,276.6,163.7,112.9,68.6,23.3,,0.96,368.5,384269.0,서울시,1037.8,940.2,255.6,163.7,112.9,112.9,15.1,15.1,654.2,648.5,5.5,1.7,
계,광진구,2013,379.3,285.8,186.9,98.9,66.3,27.2,,0.99,379.3,381439.0,서울시,1023.0,925.3,280.4,186.9,98.9,98.9,14.0,14.0,629.7,625.5,5.1,1.6,
계,광진구,2014,348.9,254.6,150.1,104.5,60.2,34.1,,0.92,348.9,377375.0,서울시,1099.4,997.2,244.4,150.1,104.5,104.5,11.6,11.6,738.9,731.0,5.8,1.8,
계,광진구,2015,339.4,250.4,146.2,104.2,61.4,27.6,,0.9,339.4,375180.0,서울시,1719.8,1622.0,235.2,146.2,104.2,104.2,13.2,13.2,1367.2,1358.4,6.5,2.1,
